ยุทธศาสตร์,แผนแม่บท,แผนงาน,หน่วยรับงบใหญ่,หน่วยรับงบย่อย,หน่วยรับงบย่อย_clean,ผลผลิต/โครงการ,งบประมาณ (ล้านบาท),document,page
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"กระทรวงการคลัง 299,335.2553 บาท","สำนักงานบริหารหนี้สาธารณะ 299,335.2553 บาท",สำนักงานบริหารหนี้สาธารณะ,"โครงการ : การบริหารการชำระหนี้ของรัฐบาล 299,335.2553 บาท",299335.2553,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,กระทรวงอุตสาหกรรม 350.0000 บาท,สำนักงานคณะกรรมการอ้อยและน้ำตาลทราย 350.0000 บาท,สำนักงานคณะกรรมการอ้อยและน้ำตาลทราย,ผลผลิต : โครงการให้ความช่วยเหลือและแก้ไขปัญหาความเดือดร้อนของชาวไร่อ้อย 350.0000 บาท,350,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท",การเคหะแห่งชาติ 67.4500 บาท,การเคหะแห่งชาติ,โครงการ : โครงการชดเชยดอกเบี้ยเพื่อการพัฒนาที่อยู่อาศัย 67.4500 บาท,67.45,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท","การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย 9,521.0975 บาท",การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย,"โครงการ : โครงการชำระหนี้เงินกู้สำหรับก่อสร้างรถไฟฟ้ามหานครสายเฉลิมรัชมงคล 2,582.4607 บาท",2582.4607,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท","การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย 9,521.0975 บาท",การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย,โครงการ : โครงการชำระหนี้เงินกู้สำหรับก่อสร้างโครงการรถไฟฟ้าสายสีม่วง ช่วงบางใหญ่-บางซื่อ 602.8530 บาท,602.853,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท","การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย 9,521.0975 บาท",การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย,โครงการ : โครงการชำระหนี้เงินกู้สำหรับก่อสร้างโครงการรถไฟฟ้าสายสีเขียว ช่วงแบริ่ง-สมุทรปราการ 2.3929 บาท,2.3929,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท","การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย 9,521.0975 บาท",การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย,"โครงการ : โครงการชำระหนี้เงินกู้สำหรับก่อสร้างโครงการรถไฟฟ้าสายสีน้าเงิน ช่วงหัวลำโพง - บางแคและช่วงบางซื่อ - ท่าพระ 1,940.9020 บาท",1940.902,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท","การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย 9,521.0975 บาท",การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย,โครงการ : โครงการชำระหนี้เงินกู้สำหรับก่อสร้าง โครงการรถไฟฟ้าสายสีม่วง ช่วงเตาปูน - ราษฎร์บูรณะ 673.6833 บาท,673.6833,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท","การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย 9,521.0975 บาท",การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย,"โครงการ : โครงการชำระหนี้เงินกู้สำหรับก่อสร้างโครงการรถไฟฟ้าสายสีเขียว ช่วงหมอชิต-สะพานใหม่ - คูคต 1,785.5432 บาท",1785.5432,1703581990_2601.pdf,277
ยุทธศาสตร์ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,แผนแม่บทฯ:กฎหมายและกระบวนการยุติธรรม,แผนงานบริหารจัดการหนี้ภาครัฐ,"รัฐวิสาหกิจ 46,694.8130 บาท","การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย 9,521.0975 บาท",การรถไฟฟ้ำขนส่งมวลชนแห่งประเทศไทย,"โครงการ : โครงการชำระหนี้เงินกู้สำหรับก่อสร้างโครงการรถไฟฟ้าสายสีส้ม ช่วงศูนย์วัฒนธรรม-มีนบุรี 1,933.2624 บาท",1933.2624,1703581990_2601.pdf,277
